iter	Passed	Remaining
0	6027	476177
1	11682	455610
2	18245	468312
3	25266	480054
4	31284	469272
5	37006	456411
6	42231	440412
7	47451	427066
8	53259	420159
9	58799	411594
10	62855	394275
11	68377	387470
12	73668	379675
13	78968	372281
14	84279	365209
15	89923	359694
16	95307	353196
17	100703	346866
18	105978	340246
19	111559	334678
20	117425	329909
21	122644	323336
22	128751	319079
23	135509	316188
24	142531	313570
25	149160	309794
26	154586	303448
27	160849	298720
28	166321	292495
29	172224	287040
30	177464	280508
31	183005	274508
32	188465	268420
33	193829	262240
34	199372	256336
35	204972	250521
36	210275	244373
37	215651	238352
38	220992	232325
39	226326	226326
40	231671	220370
41	237155	214569
42	242564	208718
43	247924	202847
44	253393	197083
45	258775	191268
46	264147	185465
47	269720	179813
48	275224	174121
49	280614	168368
50	285994	162624
51	291412	156914
52	296794	151197
53	302281	145542
54	307905	139956
55	313364	134298
56	318679	128590
57	324108	122937
58	330052	117476
59	335904	111968
60	341683	106426
61	346945	100726
62	352299	95064
63	357560	89390
64	362886	83742
65	368221	78107
66	373844	72536
67	379320	66938
68	384647	61320
69	390012	55716
70	395366	50116
71	400744	44527
72	406219	38952
73	411652	33377
74	417004	27800
75	422315	22227
76	427943	16673
77	433327	11110
78	438774	5554
79	444559	0
